tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	31	0	live	ACACA	ACACD, ACC, ACC1, ACCA, ACACA	acetyl-CoA carboxylase alpha	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha	17q12	17	NC_000017.11	37084992	37406822	minus	63	200350	
9606	Homo sapiens	32	0	live	ACACB	ACC2, ACCB, HACC275	acetyl-CoA carboxylase beta	acetyl-CoA carboxylase 2|ACC-beta|acetyl-Coenzyme A carboxylase beta	12q24.11	12	NC_000012.12	109112666	109268226	plus	56	601557	
9606	Homo sapiens	207	0	live	AKT1	AKT, CWS6, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349	104795743	minus	16	164730	
9606	Homo sapiens	208	0	live	AKT2	HIHGHH, PKBB, PKBBETA, PRKBB, RAC-BETA	AKT serine/threonine kinase 2	RAC-beta serine/threonine-protein kinase|PKB beta|RAC-PK-beta|murine thymoma viral (v-akt) homolog-2|protein kinase Akt-2|protein kinase B beta|putative v-akt murine thymoma viral oncoprotein 2|rac protein kinase beta|v-akt murine thymoma viral oncogene homolog 2	19q13.2	19	NC_000019.10	40230317	40285531	minus	22	164731	
9606	Homo sapiens	369	0	live	ARAF	A-RAF1, PKS2, RAFA1, ARAF	A-Raf proto-oncogene, serine/threonine kinase	serine/threonine-protein kinase A-Raf|A-Raf proto-oncogene serine/threonine-protein kinase|Oncogene ARAF1|Ras-binding protein DA-Raf|proto-oncogene A-Raf-1|proto-oncogene Pks|v-raf murine sarcoma 3611 viral oncogene homolog 1|v-raf murine sarcoma 3611 viral oncogene-like protein	Xp11.3	X	NC_000023.11	47561100	47571921	plus	18	311010	
9606	Homo sapiens	572	0	live	BAD	BBC2, BCL2L8	BCL2 associated agonist of cell death	bcl2-associated agonist of cell death|BCL-X/BCL-2 binding protein|BCL2-antagonist of cell death protein|BCL2-binding component 6|BCL2-binding protein|bcl-2-binding component 6|bcl-2-like protein 8|bcl-XL/Bcl-2-associated death promoter|bcl2 antagonist of cell death|bcl2-L-8	11q13.1	11	NC_000011.10	64269828	64284704	minus	3	603167	
9606	Homo sapiens	673	0	live	BRAF	B-RAF1, B-raf1, NS7, RAFB1, BRAF	B-Raf proto-oncogene, serine/threonine kinase	serine/threonine-protein kinase B-raf|94 kDa B-raf protein|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|B-Raf serine/threonine-protein|murine sarcoma viral (v-raf) oncogene homolog B1|proto-oncogene B-Raf|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1	7q34	7	NC_000007.14	140719331	140924764	minus	21	164757	
9606	Homo sapiens	801	0	live	CALM1	CALML2, CAMI, CPVT4, DD132, LQT14, PHKD, caM	calmodulin 1	calmodulin-1|calmodulin|calmodulin 1 (phosphorylase kinase, delta)|phosphorylase kinase subunit delta|phosphorylase kinase, delta subunit|prepro-calmodulin 1	14q32.11	14	NC_000014.9	90396983	90408275	plus	7	114180	
9606	Homo sapiens	805	0	live	CALM2	CAMII, LQT15, PHKD, PHKD2, caM	calmodulin 2	calmodulin-2|LP7057 protein|calmodulin 2 (phosphorylase kinase, delta)|phosphorylase kinase delta|phosphorylase kinase subunit delta|prepro-calmodulin 2	2p21	2	NC_000002.12	47160082	47176936	minus	8	114182	
9606	Homo sapiens	808	0	live	CALM3	CaM, CaMIII, HEL-S-72, PHKD, PHKD3	calmodulin 3	calmodulin-3|epididymis secretory protein Li 72|phosphorylase kinase subunit delta|prepro-calmodulin 3	19q13.32	19	NC_000019.10	46601255	46610782	plus	6	114183	
9606	Homo sapiens	810	0	live	CALML3	CLP	calmodulin like 3	calmodulin-like protein 3|caM-like protein|calmodulin-related protein NB-1	10p15.1	10	NC_000010.11	5524889	5526268	plus	1	114184	
9606	Homo sapiens	867	0	live	CBL	C-CBL2, FRA11B, NSLL, RNF55, CBL	Cbl proto-oncogene	E3 ubiquitin-protein ligase CBL|Cas-Br-M (murine) ecotropic retroviral transforming sequence|Cbl proto-oncogene, E3 ubiquitin protein ligase|RING finger protein 55|RING-type E3 ubiquitin transferase CBL|casitas B-lineage lymphoma proto-oncogene|fragile site, folic acid type, rare, fra(11)(q23.3)|oncogene CBL2|proto-oncogene c-Cbl|signal transduction protein CBL	11q23.3	11	NC_000011.10	119206276	119308149	plus	18	165360	
