tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	15	0	live	AANAT	DSPS, SNAT	aralkylamine N-acetyltransferase	serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase	17q25.1	17	NC_000017.11	76453351	76470797	plus	8	600950	
9606	Homo sapiens	26	0	live	AOC1	ABP, ABP1, DAO, DAO1, KAO	amine oxidase, copper containing 1	amiloride-sensitive amine oxidase [copper-containing]|amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase	7q36.1	7	NC_000007.14	150824875	150861291	plus	10	104610	
9606	Homo sapiens	38	0	live	ACAT1	ACAT, MAT, T2, THIL	acetyl-CoA acetyltransferase 1	acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198	11q22.3	11	NC_000011.10	108121531	108148168	plus	14	607809	
9606	Homo sapiens	39	0	live	ACAT2		acetyl-CoA acetyltransferase 2	acetyl-CoA acetyltransferase, cytosolic|acetoacetyl Coenzyme A thiolase|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase	6q25.3	6	NC_000006.12	159761957	159779112	plus	10	100678	
9606	Homo sapiens	217	0	live	ALDH2	ALDH-E2, ALDHI, ALDM	aldehyde dehydrogenase 2 family member	aldehyde dehydrogenase, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2	12q24.12	12	NC_000012.12	111766887	111809985	plus	13	100650	
9606	Homo sapiens	219	0	live	ALDH1B1	ALDH5, ALDHX	aldehyde dehydrogenase 1 family member B1	aldehyde dehydrogenase X, mitochondrial|ALDH class 2|acetaldehyde dehydrogenase 5|aldehyde dehydrogenase 5	9p13.1	9	NC_000009.12	38392664	38398665	plus	3	100670	
9606	Homo sapiens	223	0	live	ALDH9A1	ALDH4, ALDH7, ALDH9, E3, TMABADH	aldehyde dehydrogenase 9 family member A1	4-trimethylaminobutyraldehyde dehydrogenase|R-aminobutyraldehyde dehydrogenase|aldehyde dehydrogenase (NAD+)|aldehyde dehydrogenase E3 isozyme|aldehyde dehydrogenase family 9 member A1|gamma-aminobutyraldehyde dehydrogenase	1q24.1	1	NC_000001.11	165662212	165698663	minus	11	602733	
9606	Homo sapiens	224	0	live	ALDH3A2	ALDH10, FALDH, SLS	aldehyde dehydrogenase 3 family member A2	fatty aldehyde dehydrogenase|aldehyde dehydrogenase 10|aldehyde dehydrogenase family 3 member A2|microsomal aldehyde dehydrogenase	17p11.2	17	NC_000017.11	19648136	19677596	plus	13	609523	
9606	Homo sapiens	316	0	live	AOX1	AO, AOH1	aldehyde oxidase 1	aldehyde oxidase|azaheterocycle hydroxylase	2q33.1	2	NC_000002.12	200585952	200677064	plus	36	602841	
9606	Homo sapiens	438	0	live	ASMT	ASMTY, HIOMT, HIOMTY	acetylserotonin O-methyltransferase	acetylserotonin O-methyltransferase|acetylserotonin N-methyltransferase|acetylserotonin methyltransferase (Y chromosome)|hydroxyindole O-methyltransferase	Xp22.33 and Yp11.2	X	NC_000023.11	1595455	1643081	plus	10	300015,402500	
9606	Homo sapiens	501	0	live	ALDH7A1	ATQ1, EPD, PDE	aldehyde dehydrogenase 7 family member A1	alpha-aminoadipic semialdehyde dehydrogenase|26g turgor protein homolog|P6c dehydrogenase|alpha-AASA dehydrogenase|antiquitin-1|betaine aldehyde dehydrogenase|delta1-piperideine-6-carboxylate dehydrogenase	5q23.2	5	NC_000005.10	126541841	126595390	minus	19	107323	
9606	Homo sapiens	847	0	live	CAT		catalase	catalase	11p13	11	NC_000011.10	34438925	34472060	plus	13	115500	
9606	Homo sapiens	883	0	live	KYAT1	CCBL1, GTK, KAT1, KATI	kynurenine aminotransferase 1	kynurenine--oxoglutarate transaminase 1|beta-lysase, kidney|cysteine conjugate beta lyase 1|cysteine conjugate-beta lyase, cytoplasmic|cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)|cysteine-S-conjugate beta-lyase|glutamine transaminase K|glutamine--phenylpyruvate transaminase|glutamine-phenylpyruvate aminotransferase|kyneurenine aminotransferase|kynurenine aminotransferase I|kynurenine--oxoglutarate transaminase I	9q34.11	9	NC_000009.12	128832942	128882551	minus	18	600547	
